config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,baseline,Q14,1788184077.2031465,1788184078.8632536,1660.107135772705
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,baseline,Q18,1788184078.863959,1788184082.398564,3534.605026245117
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,baseline,Q1,1788184097.2958615,1788184104.3208137,7024.952173233032
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,baseline,Q3,1788184104.3214097,1788184106.5509675,2229.557752609253
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,baseline,Q6,1788184106.5516744,1788184108.3109457,1759.2713832855225
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,baseline,Q12,1788184108.3116,1788184110.1399703,1828.3703327178955
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,baseline,Q14,1788184110.1406395,1788184111.8153148,1674.6752262115479
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,baseline,Q18,1788184111.816008,1788184115.340922,3524.914026260376
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,concurrent,Q1,1788184131.5863335,1788184139.1602151,7573.88162612915
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,concurrent,Q3,1788184139.1609585,1788184141.619924,2458.965539932251
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,concurrent,Q6,1788184141.620833,1788184143.4294918,1808.6588382720947
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,concurrent,Q12,1788184143.4302142,1788184145.2801542,1849.9400615692139
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,concurrent,Q14,1788184145.2808127,1788184147.0930543,1812.241554260254
frag500_multi_stream_FIFO,500,multi_stream,FIFO,4,concurrent,Q18,1788184147.0937452,1788184150.6207438,3526.998519897461
frag50_single_stream_FAIR,50,single_stream,FAIR,0,baseline,Q14,1788184182.144999,1788184185.0968783,2951.8792629241943
